InstrumentID,AssetClass,TTCReportingRating,Model_Name, OutstandingBal ,InstrumentType,Def_Flag, PD_1_YR ,Portfolio,Debt to Equity,Net Profit Margin,DSCR,Current Ratio,Asset Coverage ratio
1002339,NBK_UK,Ba2,IBG,2302408.49,Loan,1,0.0104,IBG,51016,4.2,122,597,649444
1002407,NBK_GCC_BHR,Ba2,IBG,113640509.3,Loan,0,0.0083,IBG,44362,1.45,299,942,544309
1002507,NBK_GCC_BHR,Baa2,IBG,10475,LineOfCredit,0,0.0029,IBG,12293,4.56,217,562,669125
3002227,NBK_GCC_ARE,Ba2,IBG,1283866.58,LineOfCredit,0,0.0097,IBG,58540,2.56,148,507,685940
3002792,NBK_GCC_ARE,Ba2,IBG,2314499.66,LineOfCredit,0,0.0092,IBG,19974,1.39,638,522,393363
9004896,NBK_Kuwait,Ba1,IBG,27724444,Loan,1,0.0092,IBG,63609,5.53,187,935,259041
9004869,NBK_UK,Ba1,IBG,16734377,Loan,0,0.0093,IBG,10832,5.45,168,547,98166
9004885,NBK_Kuwait,Ba2,IBG,9987285,CRE,0,0.0103,IBG,71131,2.52,278,525,14076
9004872,NBK_UK,Ba2,IBG,7629897,Loan,0,0.0106,IBG,72768,5.38,231,523,236427
9004882,NBK_EU,Ba2,IBG,7308929,CRE,0,0.0093,IBG,69793,2.26,391,831,53259
9004890,NBK_GCC,Ba2,IBG,6723907,Loan,0,0.0092,IBG,17537,1.56,611,886,468908
9004877,NBK_Kuwait,Ba1,IBG,5385352,Loan,1,0.009,IBG,97313,1.36,415,953,350355
9004881,NBK_USA,Ba1,IBG,4542529,Loan,0,0.0079,IBG,80100,1.71,174,691,284219
9004871,NBK_UK,Ba1,IBG,4151857,Loan,0,0.0087,IBG,99234,2.89,404,841,736039
9004876,NBK_Kuwait,Ba2,IBG,2879451,Loan,0,0.0103,IBG,16442,4.01,690,707,873264
9004893,NBK_Kuwait,Ba2,IBG,1978001,Loan,0,0.0104,IBG,80926,4.98,177,825,56980
9004870,NBK_Kuwait,Ba2,IBG,1880723,Loan,1,0.0099,IBG,60491,3.9,199,516,830559
2000156,NBK_GCC,Baa2,IBG,423.13,LineOfCredit,0,0.0024,IBG,32047,2.59,474,627,892785
2000136,NBK_GCC,Baa2,IBG,2820.87,LineOfCredit,0,0.0024,IBG,92854,5.07,492,733,184994
2000190,NBK_GCC,Baa2,IBG,2820.87,LineOfCredit,0,0.0025,IBG,65383,5.8,519,722,877972
2000191,NBK_GCC,Baa2,IBG,5755.99,LineOfCredit,0,0.0025,IBG,31511,5.26,428,690,649586
