InstrumentID,AssetClass,TTCReportingRating,Model_Name, OutstandingBal ,InstrumentType,Def_Flag,PD_1_YR,Portfolio,Debt to Equity,Net Profit Margin,DSCR,Current Ratio,Asset Coverage ratio
1002339,NBK_UK,Ba2,IBG,2302408.49,Loan,0,0.0104,IBG,51016,4.2,122,597,649444
1002407,NBK_GCC_BHR,Ba2,IBG,113640509.3,Loan,0,0.0083,IBG,44362,1.75,299,942,544309
1002507,NBK_GCC_BHR,A1,IBG,10475,LineOfCredit,0,0.0029,IBG,12293,2.75,217,562,669125
3002227,NBK_GCC_ARE,Ba2,IBG,1283866.58,LineOfCredit,0,0.0097,IBG,58540,2.82,148,507,685940
3002792,NBK_GCC_ARE,Ba2,IBG,2314499.66,LineOfCredit,0,0.0092,IBG,19974,2.38,638,522,393363
9004896,NBK_Kuwait,Ba1,IBG,27724444,Loan,0,0.0092,IBG,63609,5.28,187,935,259041
9004869,NBK_UK,Ba1,IBG,16734377,Loan,0,0.0093,IBG,10832,2.44,168,547,98166
9004885,NBK_Kuwait,Ba2,IBG,9987285,CRE,0,0.0103,IBG,71131,2.2,278,525,14076
9004872,NBK_UK,Ba2,IBG,7629897,Loan,0,0.0106,IBG,72768,1.16,231,523,236427
9004882,NBK_EU,Ba2,IBG,7308929,CRE,0,0.0093,IBG,69793,2.91,391,831,53259
9004890,NBK_GCC,Ba2,IBG,6723907,Loan,0,0.0092,IBG,17537,4.69,611,886,468908
9004877,NBK_Kuwait,Ba1,IBG,5385352,Loan,0,0.009,IBG,97313,4.35,415,953,350355
9004881,NBK_USA,B1,IBG,4542529,Loan,0,0.0079,IBG,80100,1.01,174,691,284219
9004871,NBK_UK,Ba1,IBG,4151857,Loan,0,0.0087,IBG,99234,2.88,404,841,736039
9004876,NBK_Kuwait,Ba2,IBG,2879451,Loan,0,0.0103,IBG,16442,1.74,690,707,873264
9004893,NBK_Kuwait,Ba2,IBG,1978001,Loan,0,0.0104,IBG,80926,5.27,177,825,56980
9004870,NBK_Kuwait,Ba2,IBG,1880723,Loan,0,0.0099,IBG,60491,5.25,199,516,830559
