Quarter,Portfolio,ModelName,actual_lgd,predicted_lgd,
2020Q1,Commercial Real Estate,LGD_v2,0.462275654,0.448109391,
2020Q1,Consumer,Advanced_LGD,0.27935569,0.30958798,
2020Q1,Retail,Basic_LGD,0.346489837,0.484049534,
2020Q1,Consumer,LGD_v2,0.230619879,0.190210348,
2020Q1,Consumer,LGD_v2,0.679612875,0.883166021,
2020Q1,SME,Advanced_LGD,0.178380629,0.37759007,
2020Q1,Retail,LGD_v1,0.323102071,0.309990937,
2020Q1,Retail,Basic_LGD,0.115503383,0.057749957,
2020Q1,Retail,Basic_LGD,0.233067695,0.3027915,
2020Q1,Consumer,LGD_v1,0.568282683,0.533530189,
2020Q1,Commercial Real Estate,LGD_v1,0.220705139,0.105049618,
2020Q1,Retail,LGD_v1,0.148038042,0.276161907,
2020Q1,Consumer,Advanced_LGD,0.384671908,0.506316647,
2020Q1,SME,Advanced_LGD,0.105981541,0.121532701,
2020Q1,Commercial Real Estate,Basic_LGD,0.150859693,0.024573217,
2020Q1,SME,Advanced_LGD,0.584575522,0.461622897,
2020Q1,Commercial Real Estate,LGD_v2,0.562884007,0.573606936,
2020Q1,Consumer,Basic_LGD,0.649083292,0.599096189,
2020Q1,Corporate,Advanced_LGD,0.612709262,0.578599968,
2020Q1,Commercial Real Estate,LGD_v1,0.509905338,0.612101653,
2020Q1,SME,LGD_v2,0.131399714,0.204717646,
2020Q1,Consumer,LGD_v1,0.569709171,0.707523439,
2020Q1,Commercial Real Estate,Basic_LGD,0.607306487,0.508244164,
2020Q1,Corporate,LGD_v1,0.579449287,0.545130131,
2020Q1,Corporate,Advanced_LGD,0.405087421,0.480985591,
2020Q1,Retail,Advanced_LGD,0.239741103,0.284548937,
2020Q1,Retail,Basic_LGD,0.607197985,0.760436024,
2020Q1,SME,LGD_v1,0.536297686,0.578351356,
2020Q1,Commercial Real Estate,Basic_LGD,0.688456705,0.873267615,
2020Q1,Commercial Real Estate,LGD_v1,0.193415559,0.247417339,
2020Q1,Retail,LGD_v2,0.23539875,0.341615495,
2020Q1,Commercial Real Estate,Advanced_LGD,0.22707889,0.194727395,
2020Q1,Commercial Real Estate,Basic_LGD,0.575523861,0.576952582,
2020Q1,Corporate,LGD_v2,0.212144378,0.303238818,
2020Q1,Retail,LGD_v2,0.139995898,0.301293715,
2020Q1,Consumer,Basic_LGD,0.699136484,0.772060179,
2020Q1,Retail,Basic_LGD,0.114890327,0.10657315,
2020Q1,Consumer,LGD_v2,0.601146436,0.738879939,
2020Q1,Corporate,LGD_v1,0.319220105,0.100022239,
2020Q1,SME,LGD_v2,0.604969276,0.462745826,
2020Q1,Commercial Real Estate,Basic_LGD,0.432772295,0.500935717,
2020Q1,Corporate,LGD_v2,0.640978738,0.642389573,
2020Q1,Commercial Real Estate,LGD_v1,0.655715792,0.716267157,
2020Q1,SME,Advanced_LGD,0.105458909,0.111899661,
2020Q1,SME,Advanced_LGD,0.145247306,0.202341875,
2020Q1,Corporate,LGD_v2,0.250215238,0.168774956,
2020Q1,SME,LGD_v1,0.50158925,0.558637858,
2020Q1,Consumer,Advanced_LGD,0.632963318,0.732404771,
2020Q1,SME,LGD_v2,0.375965171,0.498020231,
2020Q1,Commercial Real Estate,LGD_v2,0.46418387,0.665539299,
2020Q1,Commercial Real Estate,LGD_v1,0.213099912,0.237509756,
2020Q1,Commercial Real Estate,Basic_LGD,0.5829801,0.610371209,
2020Q1,Commercial Real Estate,LGD_v2,0.680396867,0.52807962,
2020Q1,Consumer,Basic_LGD,0.26115936,0.20801822,
2020Q1,Retail,Basic_LGD,0.396895571,0.377587364,
2020Q1,Corporate,Advanced_LGD,0.151669666,0.256701622,
2020Q1,Commercial Real Estate,Basic_LGD,0.435481994,0.374381881,
2020Q1,SME,LGD_v1,0.401670065,0.481304067,
2020Q1,Commercial Real Estate,Advanced_LGD,0.18666189,0.186499719,
2020Q1,SME,Advanced_LGD,0.365239728,0.347522916,
2020Q1,SME,Advanced_LGD,0.300462791,0.325352188,
2020Q1,Commercial Real Estate,LGD_v2,0.413098525,0.373982888,
2020Q1,Consumer,LGD_v2,0.451392601,0.408488876,
2020Q1,SME,Basic_LGD,0.105097347,0,
2020Q1,SME,Advanced_LGD,0.55660359,0.531808169,
2020Q1,Commercial Real Estate,Advanced_LGD,0.527808575,0.479811761,
2020Q1,SME,LGD_v1,0.319771832,0.268173733,
2020Q1,SME,Basic_LGD,0.131761561,0.173448868,
2020Q1,Commercial Real Estate,LGD_v1,0.552959524,0.618822719,
